1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	8	8	8	8	8	2	9	5	5	5	9	5	5	5	5	5	9	5	5	5	5	5	5	7	5	5	5	5	7	3	7	7	7	7	7	7	7	5	5	5	5	5	5	5	5	5	5	5	1
1	8	0	0	0	8	2	9	5	5	5	9	5	5	5	5	5	9	5	5	5	5	5	5	7	5	5	5	5	5	3	7	4	4	4	4	7	7	5	5	5	5	5	5	5	5	5	5	5	1
1	8	0	0	0	8	2	9	5	5	5	9	5	5	5	5	5	9	5	5	5	5	5	5	7	5	5	5	5	7	3	7	7	7	7	7	7	7	5	5	5	5	5	5	5	5	5	5	5	1
1	8	0	0	0	8	2	9	5	5	5	9	5	5	5	5	5	9	5	5	5	5	5	5	7	5	5	5	5	7	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1
1	8	0	0	0	8	2	9	5	5	9	9	5	5	5	5	5	9	5	5	5	5	5	5	7	5	5	5	5	7	3	7	7	7	7	7	7	7	5	5	5	5	5	5	5	5	5	5	5	1
1	8	0	0	0	8	2	9	5	5	9	5	5	5	5	5	5	9	5	5	5	5	5	5	7	5	5	5	5	7	3	7	5	5	5	5	5	7	5	5	5	5	5	5	5	5	5	5	5	1
1	8	0	0	0	8	2	9	5	5	9	5	5	5	5	5	5	9	5	5	5	5	5	5	7	5	5	5	5	7	3	7	5	5	5	5	5	7	5	5	5	5	5	5	5	5	5	5	5	1
1	8	8	0	8	8	2	9	5	5	9	5	5	5	5	5	5	9	5	5	5	5	5	5	7	5	5	5	5	7	3	7	5	5	5	5	5	7	5	5	5	5	5	5	5	5	5	5	5	1
1	2	2	0	2	2	2	9	5	5	9	5	5	5	5	5	5	9	5	5	5	5	5	5	7	5	5	5	5	7	3	7	5	5	5	5	5	7	5	5	5	5	5	5	5	5	5	5	5	1
1	2	2	0	2	9	9	9	5	5	9	5	5	5	5	5	5	9	5	5	5	5	5	5	7	5	5	5	5	7	3	7	5	5	5	5	5	7	5	5	5	5	5	5	5	5	5	5	5	1
1	0	2	0	2	9	5	5	5	5	9	5	5	5	5	5	5	9	5	5	5	5	5	5	7	5	5	5	5	7	3	7	5	5	5	5	5	7	7	7	7	7	7	7	7	7	7	7	7	1
